Realtime bandwidth: upload: 1774 Bytes/s; download: 1193 Bytes/s
Realtime bandwidth: upload: 108345 Bytes/s; download: 1024 Bytes/s
Realtime bandwidth: upload: 100238 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 157116 Bytes/s; download: 1020 Bytes/s
Realtime bandwidth: upload: 147675 Bytes/s; download: 1005 Bytes/s
Realtime bandwidth: upload: 80504 Bytes/s; download: 1056 Bytes/s
Realtime bandwidth: upload: 29992 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 32949 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 79641 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 165450 Bytes/s; download: 1042 Bytes/s
Realtime bandwidth: upload: 108699 Bytes/s; download: 997 Bytes/s
Realtime bandwidth: upload: 110648 Bytes/s; download: 988 Bytes/s
Realtime bandwidth: upload: 171464 Bytes/s; download: 1116 Bytes/s
Realtime bandwidth: upload: 69443 Bytes/s; download: 985 Bytes/s
Realtime bandwidth: upload: 47832 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 81924 Bytes/s; download: 1020 Bytes/s
Realtime bandwidth: upload: 75754 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 85392 Bytes/s; download: 1024 Bytes/s
Realtime bandwidth: upload: 61713 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 65214 Bytes/s; download: 1015 Bytes/s
Realtime bandwidth: upload: 56901 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 45708 Bytes/s; download: 985 Bytes/s
Realtime bandwidth: upload: 93798 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 116574 Bytes/s; download: 1028 Bytes/s
Realtime bandwidth: upload: 56720 Bytes/s; download: 1049 Bytes/s
Realtime bandwidth: upload: 151184 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 159069 Bytes/s; download: 1108 Bytes/s
Realtime bandwidth: upload: 183403 Bytes/s; download: 1050 Bytes/s
Realtime bandwidth: upload: 167588 Bytes/s; download: 1052 Bytes/s
Realtime bandwidth: upload: 212969 Bytes/s; download: 1140 Bytes/s
Realtime bandwidth: upload: 102093 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 64737 Bytes/s; download: 1021 Bytes/s
Realtime bandwidth: upload: 73102 Bytes/s; download: 955 Bytes/s
Realtime bandwidth: upload: 91514 Bytes/s; download: 1024 Bytes/s
Realtime bandwidth: upload: 105902 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 87437 Bytes/s; download: 994 Bytes/s
Realtime bandwidth: upload: 56485 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 55327 Bytes/s; download: 1048 Bytes/s
Realtime bandwidth: upload: 30078 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 30288 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 52260 Bytes/s; download: 1043 Bytes/s
Realtime bandwidth: upload: 48983 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 106404 Bytes/s; download: 1034 Bytes/s
Realtime bandwidth: upload: 106575 Bytes/s; download: 1020 Bytes/s
Realtime bandwidth: upload: 71377 Bytes/s; download: 989 Bytes/s
Realtime bandwidth: upload: 82128 Bytes/s; download: 1015 Bytes/s
Realtime bandwidth: upload: 62870 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 32801 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 50253 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 91297 Bytes/s; download: 1043 Bytes/s
Realtime bandwidth: upload: 71715 Bytes/s; download: 1021 Bytes/s
Realtime bandwidth: upload: 51623 Bytes/s; download: 985 Bytes/s
Realtime bandwidth: upload: 45315 Bytes/s; download: 1016 Bytes/s
Realtime bandwidth: upload: 55726 Bytes/s; download: 986 Bytes/s
Realtime bandwidth: upload: 38626 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 41581 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 49731 Bytes/s; download: 1001 Bytes/s
Realtime bandwidth: upload: 81827 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 86920 Bytes/s; download: 1051 Bytes/s
Realtime bandwidth: upload: 124324 Bytes/s; download: 959 Bytes/s
Realtime bandwidth: upload: 159842 Bytes/s; download: 1090 Bytes/s
Realtime bandwidth: upload: 132911 Bytes/s; download: 1014 Bytes/s
Realtime bandwidth: upload: 122909 Bytes/s; download: 1016 Bytes/s
Realtime bandwidth: upload: 107931 Bytes/s; download: 1023 Bytes/s
Realtime bandwidth: upload: 161710 Bytes/s; download: 1043 Bytes/s
Realtime bandwidth: upload: 103899 Bytes/s; download: 1020 Bytes/s
Realtime bandwidth: upload: 67252 Bytes/s; download: 993 Bytes/s
Realtime bandwidth: upload: 67346 Bytes/s; download: 1013 Bytes/s
Realtime bandwidth: upload: 105832 Bytes/s; download: 955 Bytes/s
Realtime bandwidth: upload: 136607 Bytes/s; download: 995 Bytes/s
Realtime bandwidth: upload: 93565 Bytes/s; download: 1018 Bytes/s
Realtime bandwidth: upload: 65582 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 43390 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 89021 Bytes/s; download: 1052 Bytes/s
Realtime bandwidth: upload: 89609 Bytes/s; download: 957 Bytes/s
Realtime bandwidth: upload: 90330 Bytes/s; download: 1171 Bytes/s
Realtime bandwidth: upload: 72645 Bytes/s; download: 1018 Bytes/s
Realtime bandwidth: upload: 88025 Bytes/s; download: 990 Bytes/s
Realtime bandwidth: upload: 69333 Bytes/s; download: 988 Bytes/s
Realtime bandwidth: upload: 98343 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 56212 Bytes/s; download: 1049 Bytes/s
Realtime bandwidth: upload: 65063 Bytes/s; download: 951 Bytes/s
Realtime bandwidth: upload: 57940 Bytes/s; download: 989 Bytes/s
Realtime bandwidth: upload: 81189 Bytes/s; download: 954 Bytes/s
Realtime bandwidth: upload: 50453 Bytes/s; download: 989 Bytes/s
Realtime bandwidth: upload: 65749 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 92223 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 147460 Bytes/s; download: 991 Bytes/s
Realtime bandwidth: upload: 149663 Bytes/s; download: 953 Bytes/s
Realtime bandwidth: upload: 141257 Bytes/s; download: 1023 Bytes/s
Realtime bandwidth: upload: 79380 Bytes/s; download: 1020 Bytes/s
Realtime bandwidth: upload: 70983 Bytes/s; download: 993 Bytes/s
Realtime bandwidth: upload: 86627 Bytes/s; download: 1047 Bytes/s
Realtime bandwidth: upload: 89061 Bytes/s; download: 990 Bytes/s
Realtime bandwidth: upload: 117724 Bytes/s; download: 1026 Bytes/s
Realtime bandwidth: upload: 114748 Bytes/s; download: 959 Bytes/s
Realtime bandwidth: upload: 94387 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 54601 Bytes/s; download: 1039 Bytes/s
Realtime bandwidth: upload: 74934 Bytes/s; download: 1023 Bytes/s
Realtime bandwidth: upload: 61305 Bytes/s; download: 953 Bytes/s
Realtime bandwidth: upload: 85020 Bytes/s; download: 1026 Bytes/s
Realtime bandwidth: upload: 35676 Bytes/s; download: 1015 Bytes/s
Realtime bandwidth: upload: 33749 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 37728 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 49051 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 44974 Bytes/s; download: 1015 Bytes/s
Realtime bandwidth: upload: 37818 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 38448 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 72032 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 129887 Bytes/s; download: 995 Bytes/s
Realtime bandwidth: upload: 149663 Bytes/s; download: 1107 Bytes/s
Realtime bandwidth: upload: 133566 Bytes/s; download: 1072 Bytes/s
Realtime bandwidth: upload: 64391 Bytes/s; download: 1026 Bytes/s
Realtime bandwidth: upload: 91801 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 129992 Bytes/s; download: 1054 Bytes/s
Realtime bandwidth: upload: 55698 Bytes/s; download: 989 Bytes/s
Realtime bandwidth: upload: 72968 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 82087 Bytes/s; download: 1055 Bytes/s
Realtime bandwidth: upload: 83803 Bytes/s; download: 995 Bytes/s
Realtime bandwidth: upload: 102684 Bytes/s; download: 1056 Bytes/s
Realtime bandwidth: upload: 109778 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 72863 Bytes/s; download: 994 Bytes/s
Realtime bandwidth: upload: 62169 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 91428 Bytes/s; download: 993 Bytes/s
Realtime bandwidth: upload: 137549 Bytes/s; download: 1084 Bytes/s
Realtime bandwidth: upload: 59508 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 67812 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 112666 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 108908 Bytes/s; download: 1021 Bytes/s
Realtime bandwidth: upload: 167153 Bytes/s; download: 1050 Bytes/s
Realtime bandwidth: upload: 146499 Bytes/s; download: 1049 Bytes/s
Realtime bandwidth: upload: 128792 Bytes/s; download: 993 Bytes/s
Realtime bandwidth: upload: 120928 Bytes/s; download: 994 Bytes/s
Realtime bandwidth: upload: 122144 Bytes/s; download: 1021 Bytes/s
Realtime bandwidth: upload: 135658 Bytes/s; download: 1062 Bytes/s
Realtime bandwidth: upload: 102630 Bytes/s; download: 1022 Bytes/s
Realtime bandwidth: upload: 171869 Bytes/s; download: 1076 Bytes/s
Realtime bandwidth: upload: 178371 Bytes/s; download: 1006 Bytes/s
Realtime bandwidth: upload: 111982 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 67755 Bytes/s; download: 1050 Bytes/s
Realtime bandwidth: upload: 121850 Bytes/s; download: 1047 Bytes/s
Realtime bandwidth: upload: 123384 Bytes/s; download: 1043 Bytes/s
Realtime bandwidth: upload: 101400 Bytes/s; download: 1021 Bytes/s
Realtime bandwidth: upload: 185011 Bytes/s; download: 1055 Bytes/s
Realtime bandwidth: upload: 194086 Bytes/s; download: 1161 Bytes/s
Realtime bandwidth: upload: 96094 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 105964 Bytes/s; download: 994 Bytes/s
Realtime bandwidth: upload: 112707 Bytes/s; download: 1044 Bytes/s
Realtime bandwidth: upload: 109060 Bytes/s; download: 995 Bytes/s
Realtime bandwidth: upload: 94389 Bytes/s; download: 990 Bytes/s
Realtime bandwidth: upload: 87443 Bytes/s; download: 962 Bytes/s
Realtime bandwidth: upload: 86254 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 67667 Bytes/s; download: 1028 Bytes/s
Realtime bandwidth: upload: 106189 Bytes/s; download: 1022 Bytes/s
Realtime bandwidth: upload: 39826 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 46008 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 59710 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 51237 Bytes/s; download: 985 Bytes/s
Realtime bandwidth: upload: 61618 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 193203 Bytes/s; download: 1081 Bytes/s
Realtime bandwidth: upload: 192032 Bytes/s; download: 1099 Bytes/s
Realtime bandwidth: upload: 198723 Bytes/s; download: 1109 Bytes/s
Realtime bandwidth: upload: 195142 Bytes/s; download: 1041 Bytes/s
Realtime bandwidth: upload: 145876 Bytes/s; download: 985 Bytes/s
Realtime bandwidth: upload: 158320 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 170392 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 191028 Bytes/s; download: 1046 Bytes/s
Realtime bandwidth: upload: 181962 Bytes/s; download: 1129 Bytes/s
Realtime bandwidth: upload: 117144 Bytes/s; download: 991 Bytes/s
Realtime bandwidth: upload: 125896 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 52170 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 76293 Bytes/s; download: 728 Bytes/s
