Method 2: time: 1.000392562, rttEMAVariance: 0.00012539744847679207, cwndEMAVariance: 0
Method 2: time: 1.002935176, rttEMAVariance: 1.2794276978104064, cwndEMAVariance: 0
Method 2: time: 1.005218461, rttEMAVariance: 34.61925336039444, cwndEMAVariance: 0
Method 2: time: 1.001455781, rttEMAVariance: 1.0495412832872308, cwndEMAVariance: 0
Method 2: time: 1.003853939, rttEMAVariance: 0.7247266283136778, cwndEMAVariance: 0
Method 2: time: 1.003777534, rttEMAVariance: 0.10006070460397475, cwndEMAVariance: 0
Method 2: time: 1.004454386, rttEMAVariance: 0.026167851516926525, cwndEMAVariance: 0
Method 2: time: 1.003913676, rttEMAVariance: 0.6210548809372914, cwndEMAVariance: 0
Method 2: time: 1.001411112, rttEMAVariance: 0.7231131353699013, cwndEMAVariance: 0
Method 2: time: 1.004523544, rttEMAVariance: 2.5828612056391775, cwndEMAVariance: 0
Method 2: time: 1.004765058, rttEMAVariance: 0.8252608892744637, cwndEMAVariance: 0
Method 2: time: 1.001722706, rttEMAVariance: 0.296140452681507, cwndEMAVariance: 0
Method 2: time: 1.005720536, rttEMAVariance: 0.015724976198456104, cwndEMAVariance: 0
Method 2: time: 1.002863507, rttEMAVariance: 2.14569874565008, cwndEMAVariance: 0
Method 2: time: 1.003989255, rttEMAVariance: 0.6908528992446799, cwndEMAVariance: 0
Method 2: time: 1.004421544, rttEMAVariance: 1.2127381671994442, cwndEMAVariance: 0
Method 2: time: 1.003563351, rttEMAVariance: 0.7238166573901273, cwndEMAVariance: 0
Method 2: time: 1.00366743, rttEMAVariance: 0.9136467559310797, cwndEMAVariance: 0
Method 2: time: 1.006198485, rttEMAVariance: 0.5711100215988996, cwndEMAVariance: 0
Method 2: time: 1.004475205, rttEMAVariance: 0.12011425201048634, cwndEMAVariance: 0
Method 2: time: 1.003326239, rttEMAVariance: 0.9002230034646901, cwndEMAVariance: 0
Method 2: time: 1.004377247, rttEMAVariance: 1.2861192931306038, cwndEMAVariance: 0
Method 2: time: 1.002976741, rttEMAVariance: 0.03603401827949861, cwndEMAVariance: 0
Method 2: time: 1.00380222, rttEMAVariance: 7.666613135330228, cwndEMAVariance: 0
Method 2: time: 1.003712374, rttEMAVariance: 1.916627552531784, cwndEMAVariance: 0
Method 2: time: 1.002233782, rttEMAVariance: 0.3960040394400865, cwndEMAVariance: 0
Method 2: time: 1.005868208, rttEMAVariance: 0.7760833920668877, cwndEMAVariance: 0
Method 2: time: 1.005403318, rttEMAVariance: 0.8330376460254213, cwndEMAVariance: 0
Method 2: time: 1.002714004, rttEMAVariance: 0.28752167911968596, cwndEMAVariance: 0
Method 2: time: 1.003863703, rttEMAVariance: 0.3247841505131888, cwndEMAVariance: 0
Method 2: time: 1.004328068, rttEMAVariance: 3.6894354277551935, cwndEMAVariance: 0
Method 2: time: 1.003383438, rttEMAVariance: 1.0771947075654893, cwndEMAVariance: 0
Method 2: time: 1.002407561, rttEMAVariance: 2.1034660765570643, cwndEMAVariance: 0
Method 2: time: 1.002564773, rttEMAVariance: 9.134101815421397, cwndEMAVariance: 0
Method 2: time: 1.005008769, rttEMAVariance: 1.2723815717361722, cwndEMAVariance: 0
Method 2: time: 1.003681262, rttEMAVariance: 22.243598879134098, cwndEMAVariance: 0
Method 2: time: 1.006300321, rttEMAVariance: 0.1950902793891313, cwndEMAVariance: 0
Method 2: time: 1.00180119, rttEMAVariance: 0.9897834027546146, cwndEMAVariance: 0
Method 2: time: 1.004657244, rttEMAVariance: 0.32192498156461846, cwndEMAVariance: 0
Method 2: time: 1.003664772, rttEMAVariance: 0.7858643944329308, cwndEMAVariance: 0
Method 2: time: 1.002633243, rttEMAVariance: 1.6519536026235817, cwndEMAVariance: 0
Method 2: time: 1.004334765, rttEMAVariance: 1.2817973213574383, cwndEMAVariance: 0
Method 2: time: 1.002548048, rttEMAVariance: 1.0159702257962928, cwndEMAVariance: 0
Method 2: time: 1.004132878, rttEMAVariance: 0.28599136136982417, cwndEMAVariance: 0
Method 2: time: 1.004037891, rttEMAVariance: 0.38083477239642255, cwndEMAVariance: 0
Method 2: time: 1.004291637, rttEMAVariance: 1.3644256367347503, cwndEMAVariance: 0
Method 2: time: 1.002504742, rttEMAVariance: 1.9761146673299173, cwndEMAVariance: 0
Method 2: time: 1.004570182, rttEMAVariance: 1.0381780727964214, cwndEMAVariance: 0
Method 2: time: 1.00403699, rttEMAVariance: 0.001339248397986247, cwndEMAVariance: 0
Method 2: time: 1.002887425, rttEMAVariance: 1.7111360891993983, cwndEMAVariance: 0
Method 2: time: 1.004893501, rttEMAVariance: 0.007236704690238899, cwndEMAVariance: 0
Method 2: time: 1.002787715, rttEMAVariance: 22.212953114869386, cwndEMAVariance: 0
Method 2: time: 1.003298184, rttEMAVariance: 0.09942639963773607, cwndEMAVariance: 0
Method 2: time: 1.004355361, rttEMAVariance: 0.02477451555275765, cwndEMAVariance: 0
Method 2: time: 1.004456298, rttEMAVariance: 2.7906819640008114, cwndEMAVariance: 0
Method 2: time: 1.003431142, rttEMAVariance: 0.3213158228739661, cwndEMAVariance: 0
Method 2: time: 1.004120064, rttEMAVariance: 0.4786890004226622, cwndEMAVariance: 0
Method 2: time: 1.008048377, rttEMAVariance: 0.25345108271961053, cwndEMAVariance: 0
Method 2: time: 1.00373856, rttEMAVariance: 1.0147810759914828e-05, cwndEMAVariance: 0
Method 2: time: 1.021842506, rttEMAVariance: 1.9227065164619432, cwndEMAVariance: 0
Method 2: time: 1.004232148, rttEMAVariance: 0.6242788820210187, cwndEMAVariance: 0
Method 2: time: 1.009574773, rttEMAVariance: 0.9541888625096554, cwndEMAVariance: 0
Method 2: time: 1.021431122, rttEMAVariance: 0.003963356173172044, cwndEMAVariance: 0
Method 2: time: 1.006884876, rttEMAVariance: 0.015887087821693645, cwndEMAVariance: 0
Method 2: time: 1.003985834, rttEMAVariance: 1.012866030169666, cwndEMAVariance: 0
Method 2: time: 1.005336562, rttEMAVariance: 0.22448767657328583, cwndEMAVariance: 0
Method 2: time: 1.002337301, rttEMAVariance: 0.016169015718001844, cwndEMAVariance: 0
Method 2: time: 1.002633, rttEMAVariance: 0.5021291735963613, cwndEMAVariance: 0
Method 2: time: 1.007325457, rttEMAVariance: 0.028898946631181803, cwndEMAVariance: 0
Method 2: time: 1.002922793, rttEMAVariance: 0.1071717475532372, cwndEMAVariance: 0
Method 2: time: 1.002689589, rttEMAVariance: 1.122382494624047, cwndEMAVariance: 0
Method 2: time: 1.00385889, rttEMAVariance: 0.25985196664664995, cwndEMAVariance: 0
Method 2: time: 1.006145498, rttEMAVariance: 1.0164848081125584, cwndEMAVariance: 0
Method 2: time: 1.005184411, rttEMAVariance: 32.03103698620897, cwndEMAVariance: 0
Method 2: time: 1.00288977, rttEMAVariance: 0.25700325347187275, cwndEMAVariance: 0
Method 2: time: 1.004540668, rttEMAVariance: 0.2237529072009931, cwndEMAVariance: 0
Method 2: time: 1.004002396, rttEMAVariance: 0.048663040252239415, cwndEMAVariance: 0
Method 2: time: 1.00389611, rttEMAVariance: 0.14344016516909708, cwndEMAVariance: 0
Method 2: time: 1.00643371, rttEMAVariance: 0.035703331448725825, cwndEMAVariance: 0
Method 2: time: 1.001549655, rttEMAVariance: 0.16787426756073126, cwndEMAVariance: 0
Method 2: time: 1.002157011, rttEMAVariance: 3.059371502975989, cwndEMAVariance: 0
Method 2: time: 1.002047816, rttEMAVariance: 5.830002269714948, cwndEMAVariance: 0
Method 2: time: 1.007418821, rttEMAVariance: 1.6301505847023163, cwndEMAVariance: 0
Method 2: time: 1.006575108, rttEMAVariance: 29.622667472127304, cwndEMAVariance: 0
Method 2: time: 1.002437646, rttEMAVariance: 2.6139810686762557, cwndEMAVariance: 0
Method 2: time: 1.002562972, rttEMAVariance: 15.384165446319566, cwndEMAVariance: 0
Method 2: time: 1.004410095, rttEMAVariance: 0.1500977091383141, cwndEMAVariance: 0
Method 2: time: 1.003035119, rttEMAVariance: 0.010372864639329687, cwndEMAVariance: 0
Method 2: time: 1.007351005, rttEMAVariance: 0.1075801949795304, cwndEMAVariance: 0
Method 2: time: 1.002644014, rttEMAVariance: 3.1027300446781068, cwndEMAVariance: 0
Method 2: time: 1.003909337, rttEMAVariance: 1.287761156140209, cwndEMAVariance: 0
Method 2: time: 1.002049901, rttEMAVariance: 3.3305685480837646, cwndEMAVariance: 0
Method 2: time: 1.002522397, rttEMAVariance: 1.4466933486946243, cwndEMAVariance: 0
Method 2: time: 1.004619704, rttEMAVariance: 0.0635249852270821, cwndEMAVariance: 0
Method 2: time: 1.002283177, rttEMAVariance: 29.370496315308266, cwndEMAVariance: 0
Method 2: time: 1.00766693, rttEMAVariance: 1.2611296560688725, cwndEMAVariance: 0
Method 2: time: 1.00502566, rttEMAVariance: 1.0091554376199898, cwndEMAVariance: 0
Method 2: time: 1.005077815, rttEMAVariance: 0.31014529374535993, cwndEMAVariance: 0
Method 2: time: 1.003546171, rttEMAVariance: 2.3683102206421482, cwndEMAVariance: 0
Method 2: time: 1.002550684, rttEMAVariance: 3.216498892121578, cwndEMAVariance: 0
Method 2: time: 1.004506943, rttEMAVariance: 1.8347199037752018, cwndEMAVariance: 0
Method 2: time: 1.004010456, rttEMAVariance: 0.775506532552727, cwndEMAVariance: 0
Method 2: time: 1.00385784, rttEMAVariance: 2.009579860194198, cwndEMAVariance: 0
Method 2: time: 1.006996948, rttEMAVariance: 0.6694742120734078, cwndEMAVariance: 0
Method 2: time: 1.002807722, rttEMAVariance: 0.9120885556795968, cwndEMAVariance: 0
Method 2: time: 1.003134758, rttEMAVariance: 2.3615683027662864, cwndEMAVariance: 0
Method 2: time: 1.002242507, rttEMAVariance: 1.1248037661194088, cwndEMAVariance: 0
Method 2: time: 1.004021373, rttEMAVariance: 0.9838658658130247, cwndEMAVariance: 0
Method 2: time: 1.004016537, rttEMAVariance: 23.72745211785435, cwndEMAVariance: 0
Method 2: time: 1.003573657, rttEMAVariance: 0.9281009644762739, cwndEMAVariance: 0
Method 2: time: 1.003397589, rttEMAVariance: 0.6631678883638643, cwndEMAVariance: 0
Method 2: time: 1.004076171, rttEMAVariance: 1.2871741076654792, cwndEMAVariance: 0
Method 2: time: 1.005344422, rttEMAVariance: 2.0933171096140297, cwndEMAVariance: 0
Method 2: time: 1.004053296, rttEMAVariance: 0.7236854066460416, cwndEMAVariance: 0
Method 2: time: 1.003504866, rttEMAVariance: 1.2131817547460761, cwndEMAVariance: 0
Method 2: time: 1.006128848, rttEMAVariance: 0.8355025703371026, cwndEMAVariance: 0
Method 2: time: 1.004310787, rttEMAVariance: 0.16831713572977147, cwndEMAVariance: 0
Method 2: time: 1.00120889, rttEMAVariance: 0.11332153334541624, cwndEMAVariance: 0
Method 2: time: 1.003724385, rttEMAVariance: 1.3082810756851317, cwndEMAVariance: 0
Method 2: time: 1.003100819, rttEMAVariance: 23.08640366282361, cwndEMAVariance: 0
Method 2: time: 1.00343468, rttEMAVariance: 0.7823571535830192, cwndEMAVariance: 0
Method 2: time: 1.003668118, rttEMAVariance: 1.5088435692326239, cwndEMAVariance: 0
Method 2: time: 1.004135937, rttEMAVariance: 1.2258707384167153, cwndEMAVariance: 0
Method 2: time: 1.003236707, rttEMAVariance: 0.7507183738237438, cwndEMAVariance: 0
Method 2: time: 1.004447558, rttEMAVariance: 0.017470790653549135, cwndEMAVariance: 0
Method 2: time: 1.003480843, rttEMAVariance: 0.11968639482880818, cwndEMAVariance: 0
Method 2: time: 1.009829438, rttEMAVariance: 1.0167400038461953, cwndEMAVariance: 0
Method 2: time: 1.006109216, rttEMAVariance: 1.7454555353713244, cwndEMAVariance: 0
Method 2: time: 1.006276865, rttEMAVariance: 0.11968161918291031, cwndEMAVariance: 0
Method 2: time: 1.004692544, rttEMAVariance: 17.339984012848618, cwndEMAVariance: 0
Method 2: time: 1.002784287, rttEMAVariance: 26.45088030667583, cwndEMAVariance: 0
Method 2: time: 1.004584265, rttEMAVariance: 2.000992512929314, cwndEMAVariance: 0
Method 2: time: 1.004079006, rttEMAVariance: 1.2254703270459184, cwndEMAVariance: 0
Method 2: time: 1.002528317, rttEMAVariance: 0.1451446639391897, cwndEMAVariance: 0
Method 2: time: 1.004923031, rttEMAVariance: 2.755539125126206, cwndEMAVariance: 0
Method 2: time: 1.004038175, rttEMAVariance: 0.49185106251325755, cwndEMAVariance: 0
Method 2: time: 1.004663238, rttEMAVariance: 0.9892443935843306, cwndEMAVariance: 0
Method 2: time: 1.006076248, rttEMAVariance: 2.3785379673953813, cwndEMAVariance: 0
Method 2: time: 1.005947503, rttEMAVariance: 1.0813170057486359, cwndEMAVariance: 0
Method 2: time: 1.00379819, rttEMAVariance: 2.68192356749721, cwndEMAVariance: 0
Method 2: time: 1.006391485, rttEMAVariance: 0.16799241798618594, cwndEMAVariance: 0
Method 2: time: 1.001695784, rttEMAVariance: 0.8943730159621148, cwndEMAVariance: 0
Method 2: time: 1.003710937, rttEMAVariance: 0.6904956827300102, cwndEMAVariance: 0
Method 2: time: 1.005353269, rttEMAVariance: 1.5422362671179093, cwndEMAVariance: 0
Method 2: time: 1.002968013, rttEMAVariance: 0.0811527840145125, cwndEMAVariance: 0
Method 2: time: 1.006640918, rttEMAVariance: 1.323185646754153, cwndEMAVariance: 0
Method 2: time: 1.004206588, rttEMAVariance: 0.5404301805509919, cwndEMAVariance: 0
Method 2: time: 1.006391562, rttEMAVariance: 1.612767355253336, cwndEMAVariance: 0
Method 2: time: 1.002245666, rttEMAVariance: 0.6919410959894462, cwndEMAVariance: 0
Method 2: time: 1.006583458, rttEMAVariance: 4.197811104546608, cwndEMAVariance: 0
Method 2: time: 1.00374194, rttEMAVariance: 0.8348956902662282, cwndEMAVariance: 0
Method 2: time: 1.008906123, rttEMAVariance: 1.5902645488335514, cwndEMAVariance: 0
Method 2: time: 1.007003308, rttEMAVariance: 1.7449045449963534, cwndEMAVariance: 0
Method 2: time: 1.002363297, rttEMAVariance: 1.0167801448144658, cwndEMAVariance: 0
Method 2: time: 1.002155818, rttEMAVariance: 17.672123450219853, cwndEMAVariance: 0
Method 2: time: 1.001570636, rttEMAVariance: 6.566236377302432, cwndEMAVariance: 0
Method 2: time: 1.0052877119999999, rttEMAVariance: 0.4963289626929306, cwndEMAVariance: 0
Method 2: time: 1.003734633, rttEMAVariance: 0.7691631277294257, cwndEMAVariance: 0
Method 2: time: 1.003662334, rttEMAVariance: 0.22776050627089753, cwndEMAVariance: 0
Method 2: time: 1.003259319, rttEMAVariance: 12.716144287730799, cwndEMAVariance: 0
Method 2: time: 1.004268851, rttEMAVariance: 17.16958696551652, cwndEMAVariance: 0
Method 2: time: 1.005156245, rttEMAVariance: 0.4797031975206804, cwndEMAVariance: 0
Method 2: time: 1.003593659, rttEMAVariance: 1.067443188822224, cwndEMAVariance: 0
Method 2: time: 1.002879361, rttEMAVariance: 2.004567988905434, cwndEMAVariance: 0
Method 2: time: 1.004633091, rttEMAVariance: 11.328575554816188, cwndEMAVariance: 0
Method 2: time: 1.006465669, rttEMAVariance: 3.685604280176053, cwndEMAVariance: 0
Method 2: time: 1.003161875, rttEMAVariance: 9.019509998651536, cwndEMAVariance: 0
Method 2: time: 1.003814514, rttEMAVariance: 16.333085789215893, cwndEMAVariance: 0
Method 2: time: 1.003868769, rttEMAVariance: 2.1918802694912505, cwndEMAVariance: 0
Method 2: time: 1.004108351, rttEMAVariance: 1.7924675055730594, cwndEMAVariance: 0
Method 2: time: 1.004076705, rttEMAVariance: 28.826423706019142, cwndEMAVariance: 0
Method 2: time: 1.004539037, rttEMAVariance: 0.8662585069412432, cwndEMAVariance: 0
Method 2: time: 1.003489263, rttEMAVariance: 4.5463945066019456, cwndEMAVariance: 0
Method 2: time: 1.005538992, rttEMAVariance: 0.14299296960958424, cwndEMAVariance: 0
Method 2: time: 1.002375296, rttEMAVariance: 5.274009290759729, cwndEMAVariance: 0
Method 2: time: 1.003856046, rttEMAVariance: 0.009083507915213604, cwndEMAVariance: 0
Method 2: time: 1.008057663, rttEMAVariance: 0.10029510129266672, cwndEMAVariance: 0
Method 2: time: 1.0034457, rttEMAVariance: 1.9157935404651703, cwndEMAVariance: 0
Method 2: time: 1.006220771, rttEMAVariance: 0.2841171582184738, cwndEMAVariance: 0
Method 2: time: 1.003798045, rttEMAVariance: 406.7979787144997, cwndEMAVariance: 0
Method 2: time: 1.001643663, rttEMAVariance: 12.217618593432665, cwndEMAVariance: 0
Method 2: time: 1.005975702, rttEMAVariance: 2.1373712382197008, cwndEMAVariance: 0
Method 2: time: 1.004128439, rttEMAVariance: 2.353463653050632, cwndEMAVariance: 0
Method 2: time: 1.004085495, rttEMAVariance: 1.6947910452670993, cwndEMAVariance: 0
Method 2: time: 1.003966243, rttEMAVariance: 2.5576114757786303, cwndEMAVariance: 0
Method 2: time: 1.004063932, rttEMAVariance: 0.2961356178479531, cwndEMAVariance: 0
Method 2: time: 1.003573745, rttEMAVariance: 0.8351278477603942, cwndEMAVariance: 0
Method 2: time: 1.003406189, rttEMAVariance: 7.150427813490551, cwndEMAVariance: 0
Method 2: time: 1.004396724, rttEMAVariance: 1.0786579833079832, cwndEMAVariance: 0
Method 2: time: 1.006660158, rttEMAVariance: 33.51370810111029, cwndEMAVariance: 0
Method 2: time: 1.004513406, rttEMAVariance: 0.571668959099439, cwndEMAVariance: 0
Method 2: time: 1.001418158, rttEMAVariance: 0.22995933039994046, cwndEMAVariance: 0
Method 2: time: 1.004857418, rttEMAVariance: 1.9334656661779086, cwndEMAVariance: 0
Method 2: time: 1.004495201, rttEMAVariance: 0.003960188436763453, cwndEMAVariance: 0
Method 2: time: 1.003482644, rttEMAVariance: 0.668278607241306, cwndEMAVariance: 0
Method 2: time: 1.004808364, rttEMAVariance: 1.247962283383588, cwndEMAVariance: 0
