Method 1: time: 1.012331191, rttSecondDerivative: 3.3251318529411466e+06, cwndSecondDerivative: 0
Method 1: time: 1.003363081, rttSecondDerivative: 6.877750582891395e+06, cwndSecondDerivative: 0
Method 1: time: 1.001238327, rttSecondDerivative: 7.0672612273288965e+06, cwndSecondDerivative: 0
Method 1: time: 1.00146015, rttSecondDerivative: 7.175595968814446e+06, cwndSecondDerivative: 0
Method 1: time: 1.005043734, rttSecondDerivative: 7.265092684619046e+06, cwndSecondDerivative: 0
Method 1: time: 1.002666046, rttSecondDerivative: 7.453115186202429e+06, cwndSecondDerivative: 0
Method 1: time: 1.003404988, rttSecondDerivative: 7.600045562345142e+06, cwndSecondDerivative: 0
Method 1: time: 1.002269621, rttSecondDerivative: 7.685487928127199e+06, cwndSecondDerivative: 0
Method 1: time: 1.003545399, rttSecondDerivative: 7.889031556551325e+06, cwndSecondDerivative: 0
Method 1: time: 1.003381482, rttSecondDerivative: 7.965455922553888e+06, cwndSecondDerivative: 0
Method 1: time: 1.003373567, rttSecondDerivative: 8.115840940020664e+06, cwndSecondDerivative: 0
Method 1: time: 1.002592665, rttSecondDerivative: 8.45238095137763e+06, cwndSecondDerivative: 0
Method 1: time: 1.002836177, rttSecondDerivative: 8.670276604086641e+06, cwndSecondDerivative: 0
Method 1: time: 1.005659494, rttSecondDerivative: 8.955682750843681e+06, cwndSecondDerivative: 0
Method 1: time: 1.005289938, rttSecondDerivative: 9.216382e+06, cwndSecondDerivative: 0
Method 1: time: 1.000869693, rttSecondDerivative: 9.337759538549924e+06, cwndSecondDerivative: 0
Method 1: time: 1.000445858, rttSecondDerivative: 9.650048349190408e+06, cwndSecondDerivative: 0
Method 1: time: 1.002774567, rttSecondDerivative: 9.886811945686722e+06, cwndSecondDerivative: 0
Method 1: time: 1.002828491, rttSecondDerivative: 9.98801299803978e+06, cwndSecondDerivative: 0
Method 1: time: 1.003018443, rttSecondDerivative: 1.0178282717144927e+07, cwndSecondDerivative: 0
Method 1: time: 1.003913077, rttSecondDerivative: 1.0311880020442875e+07, cwndSecondDerivative: 0
Method 1: time: 1.002603991, rttSecondDerivative: 1.0608180853019258e+07, cwndSecondDerivative: 0
Method 1: time: 1.0023819, rttSecondDerivative: 1.0918294862997584e+07, cwndSecondDerivative: 0
Method 1: time: 1.003260109, rttSecondDerivative: 1.1221895179313462e+07, cwndSecondDerivative: 0
Method 1: time: 1.00402305, rttSecondDerivative: 1.1401587855486443e+07, cwndSecondDerivative: 0
Method 1: time: 1.004086904, rttSecondDerivative: 1.1590795709096815e+07, cwndSecondDerivative: 0
Method 1: time: 1.002832051, rttSecondDerivative: 1.1940722900243362e+07, cwndSecondDerivative: 0
Method 1: time: 1.000777534, rttSecondDerivative: 1.225136507493434e+07, cwndSecondDerivative: 0
Method 1: time: 1.004137214, rttSecondDerivative: 1.2522822971935334e+07, cwndSecondDerivative: 0
Method 1: time: 1.003411298, rttSecondDerivative: 1.2623797414290905e+07, cwndSecondDerivative: 0
Method 1: time: 1.002916081, rttSecondDerivative: 1.2782851278710855e+07, cwndSecondDerivative: 0
Method 1: time: 1.003005747, rttSecondDerivative: 1.2960196916806437e+07, cwndSecondDerivative: 0
Method 1: time: 1.002210371, rttSecondDerivative: 1.3078387109327473e+07, cwndSecondDerivative: 0
Method 1: time: 1.003584322, rttSecondDerivative: 1.3261953875558443e+07, cwndSecondDerivative: 0
Method 1: time: 1.001316954, rttSecondDerivative: 1.350636577730303e+07, cwndSecondDerivative: 0
Method 1: time: 1.004768619, rttSecondDerivative: 1.3707721449957881e+07, cwndSecondDerivative: 0
Method 1: time: 1.002439795, rttSecondDerivative: 1.3802026975335535e+07, cwndSecondDerivative: 0
Method 1: time: 1.002697268, rttSecondDerivative: 1.3958331968358751e+07, cwndSecondDerivative: 0
Method 1: time: 1.003479337, rttSecondDerivative: 1.4055309895436358e+07, cwndSecondDerivative: 0
Method 1: time: 1.005556463, rttSecondDerivative: 1.42125961713481e+07, cwndSecondDerivative: 0
Method 1: time: 1.002194926, rttSecondDerivative: 1.4360397932093257e+07, cwndSecondDerivative: 0
Method 1: time: 1.00233386, rttSecondDerivative: 1.4631629932925234e+07, cwndSecondDerivative: 0
Method 1: time: 1.002802669, rttSecondDerivative: 1.4902954346787723e+07, cwndSecondDerivative: 0
Method 1: time: 1.002870594, rttSecondDerivative: 1.512460124813493e+07, cwndSecondDerivative: 0
Method 1: time: 1.002860456, rttSecondDerivative: 1.5203887711163634e+07, cwndSecondDerivative: 0
Method 1: time: 1.00354477, rttSecondDerivative: 1.5379126109278297e+07, cwndSecondDerivative: 0
Method 1: time: 1.002711728, rttSecondDerivative: 1.5488088999946011e+07, cwndSecondDerivative: 0
Method 1: time: 1.003557573, rttSecondDerivative: 1.571870683569977e+07, cwndSecondDerivative: 0
Method 1: time: 1.003184197, rttSecondDerivative: 1.583519250811273e+07, cwndSecondDerivative: 0
Method 1: time: 1.003571315, rttSecondDerivative: 1.5994608992297716e+07, cwndSecondDerivative: 0
Method 1: time: 1.00513499, rttSecondDerivative: 1.6097638595012857e+07, cwndSecondDerivative: 0
Method 1: time: 1.002659803, rttSecondDerivative: 1.635287759271235e+07, cwndSecondDerivative: 0
Method 1: time: 1.001659509, rttSecondDerivative: 1.670804397489326e+07, cwndSecondDerivative: 0
Method 1: time: 1.002765689, rttSecondDerivative: 1.6878069854737923e+07, cwndSecondDerivative: 0
Method 1: time: 1.003740549, rttSecondDerivative: 1.697355538531943e+07, cwndSecondDerivative: 0
Method 1: time: 1.00204324, rttSecondDerivative: 1.728518590388376e+07, cwndSecondDerivative: 0
Method 1: time: 1.003096379, rttSecondDerivative: 1.749796255610352e+07, cwndSecondDerivative: 0
Method 1: time: 1.003074922, rttSecondDerivative: 1.7706178804495785e+07, cwndSecondDerivative: 0
Method 1: time: 1.003530813, rttSecondDerivative: 1.7952553934415143e+07, cwndSecondDerivative: 0
Method 1: time: 1.005167844, rttSecondDerivative: 1.801364566943686e+07, cwndSecondDerivative: 0
Method 1: time: 1.001184991, rttSecondDerivative: 1.8249035674401097e+07, cwndSecondDerivative: 0
Method 1: time: 1.00394703, rttSecondDerivative: 1.846056182651463e+07, cwndSecondDerivative: 0
Method 1: time: 1.002288955, rttSecondDerivative: 1.8681827999365203e+07, cwndSecondDerivative: 0
Method 1: time: 1.006485526, rttSecondDerivative: 1.8943969631780658e+07, cwndSecondDerivative: 0
Method 1: time: 1.002016948, rttSecondDerivative: 1.9149655513704725e+07, cwndSecondDerivative: 0
Method 1: time: 1.000948122, rttSecondDerivative: 1.9383262722589556e+07, cwndSecondDerivative: 0
Method 1: time: 1.002830555, rttSecondDerivative: 1.9547426958663113e+07, cwndSecondDerivative: 0
Method 1: time: 1.003925339, rttSecondDerivative: 1.9738016552930363e+07, cwndSecondDerivative: 0
Method 1: time: 1.006940901, rttSecondDerivative: 1.9923954193875622e+07, cwndSecondDerivative: 0
Method 1: time: 1.018632626, rttSecondDerivative: 2.035208449235995e+07, cwndSecondDerivative: 0
Method 1: time: 1.001858627, rttSecondDerivative: 2.0689244999082003e+07, cwndSecondDerivative: 0
Method 1: time: 1.005374197, rttSecondDerivative: 2.093751899821806e+07, cwndSecondDerivative: 0
Method 1: time: 1.005593293, rttSecondDerivative: 2.106130685967958e+07, cwndSecondDerivative: 0
Method 1: time: 1.002715012, rttSecondDerivative: 2.1158723175383568e+07, cwndSecondDerivative: 0
Method 1: time: 1.002688787, rttSecondDerivative: 2.1527965307618022e+07, cwndSecondDerivative: 0
Method 1: time: 1.004654033, rttSecondDerivative: 2.1655071938335214e+07, cwndSecondDerivative: 0
Method 1: time: 1.002586085, rttSecondDerivative: 2.1746485964574944e+07, cwndSecondDerivative: 0
Method 1: time: 1.003722365, rttSecondDerivative: 2.2081839884759348e+07, cwndSecondDerivative: 0
Method 1: time: 1.003057496, rttSecondDerivative: 2.2240187977082558e+07, cwndSecondDerivative: 0
Method 1: time: 1.003981243, rttSecondDerivative: 2.2408821983738687e+07, cwndSecondDerivative: 0
Method 1: time: 1.005539881, rttSecondDerivative: 2.2562300003864747e+07, cwndSecondDerivative: 0
Method 1: time: 1.004340153, rttSecondDerivative: 2.275016599353436e+07, cwndSecondDerivative: 0
Method 1: time: 1.001247021, rttSecondDerivative: 2.2964912806599125e+07, cwndSecondDerivative: 0
Method 1: time: 1.002147059, rttSecondDerivative: 2.3074784996098783e+07, cwndSecondDerivative: 0
Method 1: time: 1.00391817, rttSecondDerivative: 2.33220959845013e+07, cwndSecondDerivative: 0
Method 1: time: 1.003417418, rttSecondDerivative: 2.3517283949225336e+07, cwndSecondDerivative: 0
Method 1: time: 1.00319116, rttSecondDerivative: 2.365882699469856e+07, cwndSecondDerivative: 0
Method 1: time: 1.004708052, rttSecondDerivative: 2.3859089790605273e+07, cwndSecondDerivative: 0
Method 1: time: 1.001280013, rttSecondDerivative: 2.4063344389778446e+07, cwndSecondDerivative: 0
Method 1: time: 1.004254507, rttSecondDerivative: 2.420843971913596e+07, cwndSecondDerivative: 0
Method 1: time: 1.002374479, rttSecondDerivative: 2.4314979990208387e+07, cwndSecondDerivative: 0
Method 1: time: 1.004305871, rttSecondDerivative: 2.4457198954550337e+07, cwndSecondDerivative: 0
Method 1: time: 1.004736936, rttSecondDerivative: 2.4538238997596458e+07, cwndSecondDerivative: 0
Method 1: time: 1.004704298, rttSecondDerivative: 2.4766583932394538e+07, cwndSecondDerivative: 0
Method 1: time: 1.002361449, rttSecondDerivative: 2.5122607649474896e+07, cwndSecondDerivative: 0
Method 1: time: 1.002011052, rttSecondDerivative: 2.539574386618514e+07, cwndSecondDerivative: 0
Method 1: time: 1.003386242, rttSecondDerivative: 2.551889037902812e+07, cwndSecondDerivative: 0
Method 1: time: 1.003852443, rttSecondDerivative: 2.5749992987440787e+07, cwndSecondDerivative: 0
Method 1: time: 1.00398422, rttSecondDerivative: 2.5929993861538645e+07, cwndSecondDerivative: 0
Method 1: time: 1.00258935, rttSecondDerivative: 2.6179539281293284e+07, cwndSecondDerivative: 0
Method 1: time: 1.003806324, rttSecondDerivative: 2.6315148957587577e+07, cwndSecondDerivative: 0
Method 1: time: 1.003650322, rttSecondDerivative: 2.660874769719545e+07, cwndSecondDerivative: 0
Method 1: time: 1.002565895, rttSecondDerivative: 2.6803435941882536e+07, cwndSecondDerivative: 0
Method 1: time: 1.002375357, rttSecondDerivative: 2.6919415553493973e+07, cwndSecondDerivative: 0
Method 1: time: 1.003071821, rttSecondDerivative: 2.7000410263764355e+07, cwndSecondDerivative: 0
Method 1: time: 1.00470194, rttSecondDerivative: 2.712244237218396e+07, cwndSecondDerivative: 0
Method 1: time: 1.001868882, rttSecondDerivative: 2.723853733549132e+07, cwndSecondDerivative: 0
Method 1: time: 1.000846796, rttSecondDerivative: 2.7285587372999042e+07, cwndSecondDerivative: 0
Method 1: time: 1.005445928, rttSecondDerivative: 2.7533150926329464e+07, cwndSecondDerivative: 0
Method 1: time: 1.003373994, rttSecondDerivative: 2.7702789997386903e+07, cwndSecondDerivative: 0
Method 1: time: 1.003317171, rttSecondDerivative: 2.787476996271655e+07, cwndSecondDerivative: 0
Method 1: time: 1.003966475, rttSecondDerivative: 2.8019937935925886e+07, cwndSecondDerivative: 0
Method 1: time: 1.003254082, rttSecondDerivative: 2.8129061991748434e+07, cwndSecondDerivative: 0
Method 1: time: 1.002724838, rttSecondDerivative: 2.8351041989906818e+07, cwndSecondDerivative: 0
Method 1: time: 1.00433195, rttSecondDerivative: 2.867333996380697e+07, cwndSecondDerivative: 0
Method 1: time: 1.003347926, rttSecondDerivative: 2.87882474835391e+07, cwndSecondDerivative: 0
Method 1: time: 1.003450482, rttSecondDerivative: 2.8998230152580403e+07, cwndSecondDerivative: 0
Method 1: time: 1.006243329, rttSecondDerivative: 2.934666840848428e+07, cwndSecondDerivative: 0
Method 1: time: 1.001537916, rttSecondDerivative: 2.962246076002111e+07, cwndSecondDerivative: 0
Method 1: time: 1.001297403, rttSecondDerivative: 2.9870330999965094e+07, cwndSecondDerivative: 0
Method 1: time: 1.005625618, rttSecondDerivative: 3.020918392951854e+07, cwndSecondDerivative: 0
Method 1: time: 1.00324955, rttSecondDerivative: 3.0345801986188624e+07, cwndSecondDerivative: 0
Method 1: time: 1.003634565, rttSecondDerivative: 3.058519292796774e+07, cwndSecondDerivative: 0
Method 1: time: 1.003342507, rttSecondDerivative: 3.068016192054918e+07, cwndSecondDerivative: 0
Method 1: time: 1.002757003, rttSecondDerivative: 3.0925740721087534e+07, cwndSecondDerivative: 0
Method 1: time: 1.003178893, rttSecondDerivative: 3.1094896980398424e+07, cwndSecondDerivative: 0
Method 1: time: 1.004483327, rttSecondDerivative: 3.132683473446137e+07, cwndSecondDerivative: 0
Method 1: time: 1.003945627, rttSecondDerivative: 3.1566291937577832e+07, cwndSecondDerivative: 0
Method 1: time: 1.00283311, rttSecondDerivative: 3.1929765623983156e+07, cwndSecondDerivative: 0
Method 1: time: 1.005162507, rttSecondDerivative: 3.2100524993388724e+07, cwndSecondDerivative: 0
Method 1: time: 1.004722158, rttSecondDerivative: 3.241319744811933e+07, cwndSecondDerivative: 0
Method 1: time: 1.005517641, rttSecondDerivative: 3.2734332788096506e+07, cwndSecondDerivative: 0
Method 1: time: 1.003298235, rttSecondDerivative: 3.301633676264139e+07, cwndSecondDerivative: 0
Method 1: time: 1.003106236, rttSecondDerivative: 3.3236464995012335e+07, cwndSecondDerivative: 0
Method 1: time: 1.001618734, rttSecondDerivative: 3.344466177915072e+07, cwndSecondDerivative: 0
Method 1: time: 1.003230755, rttSecondDerivative: 3.364227375341192e+07, cwndSecondDerivative: 0
Method 1: time: 1.00480791, rttSecondDerivative: 3.4062750863763615e+07, cwndSecondDerivative: 0
Method 1: time: 1.002038461, rttSecondDerivative: 3.424173850488664e+07, cwndSecondDerivative: 0
Method 1: time: 1.005126892, rttSecondDerivative: 3.440224361238443e+07, cwndSecondDerivative: 0
Method 1: time: 1.003648497, rttSecondDerivative: 3.456743193274259e+07, cwndSecondDerivative: 0
Method 1: time: 1.004150304, rttSecondDerivative: 3.47414459986505e+07, cwndSecondDerivative: 0
Method 1: time: 1.003146895, rttSecondDerivative: 3.498360481638856e+07, cwndSecondDerivative: 0
Method 1: time: 1.004090584, rttSecondDerivative: 3.506887987154107e+07, cwndSecondDerivative: 0
Method 1: time: 1.008952133, rttSecondDerivative: 3.533754195562862e+07, cwndSecondDerivative: 0
Method 1: time: 1.002468683, rttSecondDerivative: 3.5473751981191166e+07, cwndSecondDerivative: 0
Method 1: time: 1.003288003, rttSecondDerivative: 3.562515699398317e+07, cwndSecondDerivative: 0
Method 1: time: 1.003017978, rttSecondDerivative: 3.583115594845709e+07, cwndSecondDerivative: 0
Method 1: time: 1.005265297, rttSecondDerivative: 3.597590981122771e+07, cwndSecondDerivative: 0
Method 1: time: 1.004900879, rttSecondDerivative: 3.6170079882378034e+07, cwndSecondDerivative: 0
Method 1: time: 1.004616249, rttSecondDerivative: 3.649521434413041e+07, cwndSecondDerivative: 0
Method 1: time: 1.00478443, rttSecondDerivative: 3.6662649864714116e+07, cwndSecondDerivative: 0
Method 1: time: 1.003684001, rttSecondDerivative: 3.6862754991185464e+07, cwndSecondDerivative: 0
Method 1: time: 1.004983132, rttSecondDerivative: 3.704054196497897e+07, cwndSecondDerivative: 0
Method 1: time: 1.001714237, rttSecondDerivative: 3.720190895263298e+07, cwndSecondDerivative: 0
Method 1: time: 1.004393182, rttSecondDerivative: 3.7426014654607035e+07, cwndSecondDerivative: 0
Method 1: time: 1.001853429, rttSecondDerivative: 3.7844709771428734e+07, cwndSecondDerivative: 0
Method 1: time: 1.002585215, rttSecondDerivative: 3.8011912991430156e+07, cwndSecondDerivative: 0
Method 1: time: 1.003081941, rttSecondDerivative: 3.8107173962725714e+07, cwndSecondDerivative: 0
Method 1: time: 1.005235459, rttSecondDerivative: 3.8330358065760344e+07, cwndSecondDerivative: 0
Method 1: time: 1.002321303, rttSecondDerivative: 3.849200917651276e+07, cwndSecondDerivative: 0
Method 1: time: 1.003662173, rttSecondDerivative: 3.868694327181962e+07, cwndSecondDerivative: 0
Method 1: time: 1.004124234, rttSecondDerivative: 3.9114181980679676e+07, cwndSecondDerivative: 0
Method 1: time: 1.003313709, rttSecondDerivative: 3.940609193314601e+07, cwndSecondDerivative: 0
Method 1: time: 1.004311849, rttSecondDerivative: 3.960486573165472e+07, cwndSecondDerivative: 0
Method 1: time: 1.005256047, rttSecondDerivative: 3.9766665244023874e+07, cwndSecondDerivative: 0
Method 1: time: 1.002810279, rttSecondDerivative: 4.003625254620984e+07, cwndSecondDerivative: 0
Method 1: time: 1.003852017, rttSecondDerivative: 4.027839035993711e+07, cwndSecondDerivative: 0
Method 1: time: 1.004997967, rttSecondDerivative: 4.054728884233156e+07, cwndSecondDerivative: 0
Method 1: time: 1.002394921, rttSecondDerivative: 4.074362799536009e+07, cwndSecondDerivative: 0
Method 1: time: 1.001669188, rttSecondDerivative: 4.090852294131677e+07, cwndSecondDerivative: 0
Method 1: time: 1.00450734, rttSecondDerivative: 4.1115591979220755e+07, cwndSecondDerivative: 0
Method 1: time: 1.003575279, rttSecondDerivative: 4.137402382840393e+07, cwndSecondDerivative: 0
Method 1: time: 1.003591558, rttSecondDerivative: 4.154804991283863e+07, cwndSecondDerivative: 0
Method 1: time: 1.003332513, rttSecondDerivative: 4.181869395918884e+07, cwndSecondDerivative: 0
Method 1: time: 1.004205606, rttSecondDerivative: 4.196141082709657e+07, cwndSecondDerivative: 0
Method 1: time: 1.002946719, rttSecondDerivative: 4.215888964579152e+07, cwndSecondDerivative: 0
Method 1: time: 1.002899647, rttSecondDerivative: 4.2379726947191335e+07, cwndSecondDerivative: 0
Method 1: time: 1.005038591, rttSecondDerivative: 4.2564381749717586e+07, cwndSecondDerivative: 0
Method 1: time: 1.004523835, rttSecondDerivative: 4.277591799662998e+07, cwndSecondDerivative: 0
Method 1: time: 1.005724475, rttSecondDerivative: 4.320787286996253e+07, cwndSecondDerivative: 0
Method 1: time: 1.006327391, rttSecondDerivative: 4.3379399988433614e+07, cwndSecondDerivative: 0
Method 1: time: 1.002049829, rttSecondDerivative: 4.351452569523797e+07, cwndSecondDerivative: 0
Method 1: time: 1.00179628, rttSecondDerivative: 4.3662063501163125e+07, cwndSecondDerivative: 0
Method 1: time: 1.004715962, rttSecondDerivative: 4.3794924929150835e+07, cwndSecondDerivative: 0
Method 1: time: 1.00461076, rttSecondDerivative: 4.3985178941899575e+07, cwndSecondDerivative: 0
Method 1: time: 1.002521119, rttSecondDerivative: 4.422668078793704e+07, cwndSecondDerivative: 0
Method 1: time: 1.004415396, rttSecondDerivative: 4.435248098200721e+07, cwndSecondDerivative: 0
Method 1: time: 1.003316235, rttSecondDerivative: 4.4462621936775e+07, cwndSecondDerivative: 0
Method 1: time: 1.005551024, rttSecondDerivative: 4.4667381842778295e+07, cwndSecondDerivative: 0
Method 1: time: 1.003680279, rttSecondDerivative: 4.4923116972633995e+07, cwndSecondDerivative: 0
Method 1: time: 1.005468946, rttSecondDerivative: 4.506278573404638e+07, cwndSecondDerivative: 0
Method 1: time: 1.003169747, rttSecondDerivative: 4.540010660137903e+07, cwndSecondDerivative: 0
Method 1: time: 1.006871527, rttSecondDerivative: 4.560069470632923e+07, cwndSecondDerivative: 0
Method 1: time: 1.003110524, rttSecondDerivative: 4.5802450919067994e+07, cwndSecondDerivative: 0
Method 1: time: 1.001797862, rttSecondDerivative: 4.608160492380923e+07, cwndSecondDerivative: 0
Method 1: time: 1.002715595, rttSecondDerivative: 4.625879966055607e+07, cwndSecondDerivative: 0
Method 1: time: 1.004820573, rttSecondDerivative: 4.641301597948418e+07, cwndSecondDerivative: 0
Method 1: time: 1.00433778, rttSecondDerivative: 4.654080598936951e+07, cwndSecondDerivative: 0
Method 1: time: 1.00269685, rttSecondDerivative: 4.6780924986813426e+07, cwndSecondDerivative: 0
Method 1: time: 1.00419879, rttSecondDerivative: 4.707976799843067e+07, cwndSecondDerivative: 0
Method 1: time: 1.003900997, rttSecondDerivative: 4.731626576039718e+07, cwndSecondDerivative: 0
Method 1: time: 1.003379875, rttSecondDerivative: 4.756616968686145e+07, cwndSecondDerivative: 0
Method 1: time: 1.003138455, rttSecondDerivative: 4.771373579201099e+07, cwndSecondDerivative: 0
Method 1: time: 1.004943688, rttSecondDerivative: 4.79261869464582e+07, cwndSecondDerivative: 0
Method 1: time: 1.004821732, rttSecondDerivative: 4.8126514998183064e+07, cwndSecondDerivative: 0
Method 1: time: 1.007739799, rttSecondDerivative: 4.8311249700458854e+07, cwndSecondDerivative: 0
Method 1: time: 1.001915944, rttSecondDerivative: 4.847099099742557e+07, cwndSecondDerivative: 0
Method 1: time: 1.003851083, rttSecondDerivative: 4.8621265788725235e+07, cwndSecondDerivative: 0
Method 1: time: 1.003586482, rttSecondDerivative: 4.8903375488118336e+07, cwndSecondDerivative: 0
Method 1: time: 1.005518435, rttSecondDerivative: 4.9172141775734656e+07, cwndSecondDerivative: 0
Method 1: time: 1.003600283, rttSecondDerivative: 4.9333826936574996e+07, cwndSecondDerivative: 0
Method 1: time: 1.00422365, rttSecondDerivative: 4.965123796261832e+07, cwndSecondDerivative: 0
Method 1: time: 1.003440247, rttSecondDerivative: 5.002697596567584e+07, cwndSecondDerivative: 0
Method 1: time: 1.005017683, rttSecondDerivative: 5.015698299824662e+07, cwndSecondDerivative: 0
Method 1: time: 1.004183442, rttSecondDerivative: 5.0377945828225896e+07, cwndSecondDerivative: 0
Method 1: time: 1.003001262, rttSecondDerivative: 5.048826382259865e+07, cwndSecondDerivative: 0
Method 1: time: 1.004472437, rttSecondDerivative: 5.0674513506024785e+07, cwndSecondDerivative: 0
Method 1: time: 1.00605591, rttSecondDerivative: 5.0813050990945116e+07, cwndSecondDerivative: 0
Method 1: time: 1.002801059, rttSecondDerivative: 5.092901953191505e+07, cwndSecondDerivative: 0
Method 1: time: 1.00250852, rttSecondDerivative: 5.114043698619758e+07, cwndSecondDerivative: 0
Method 1: time: 1.005456538, rttSecondDerivative: 5.126367499098083e+07, cwndSecondDerivative: 0
Method 1: time: 1.003099213, rttSecondDerivative: 5.141579198875516e+07, cwndSecondDerivative: 0
Method 1: time: 1.003301716, rttSecondDerivative: 5.172597199798165e+07, cwndSecondDerivative: 0
Method 1: time: 1.00389429, rttSecondDerivative: 5.1837849841031656e+07, cwndSecondDerivative: 0
Method 1: time: 1.004777179, rttSecondDerivative: 5.198284097145076e+07, cwndSecondDerivative: 0
Method 1: time: 1.00522847, rttSecondDerivative: 5.2246076529500134e+07, cwndSecondDerivative: 0
Method 1: time: 1.003656859, rttSecondDerivative: 5.255715796506299e+07, cwndSecondDerivative: 0
Method 1: time: 1.004181818, rttSecondDerivative: 5.27247828794826e+07, cwndSecondDerivative: 0
Method 1: time: 1.002650484, rttSecondDerivative: 5.293299981954948e+07, cwndSecondDerivative: 0
Method 1: time: 1.005410359, rttSecondDerivative: 5.314189699694575e+07, cwndSecondDerivative: 0
Method 1: time: 1.004037396, rttSecondDerivative: 5.329518987311214e+07, cwndSecondDerivative: 0
Method 1: time: 1.002525083, rttSecondDerivative: 5.353394999214803e+07, cwndSecondDerivative: 0
Method 1: time: 1.001637535, rttSecondDerivative: 5.3819210995044746e+07, cwndSecondDerivative: 0
Method 1: time: 1.007634977, rttSecondDerivative: 5.395281284981661e+07, cwndSecondDerivative: 0
Method 1: time: 1.003255694, rttSecondDerivative: 5.423428869870995e+07, cwndSecondDerivative: 0
Method 1: time: 1.003849322, rttSecondDerivative: 5.446062698866673e+07, cwndSecondDerivative: 0
Method 1: time: 1.004773815, rttSecondDerivative: 5.46173802684447e+07, cwndSecondDerivative: 0
Method 1: time: 1.002709469, rttSecondDerivative: 5.482887733800667e+07, cwndSecondDerivative: 0
Method 1: time: 1.004999584, rttSecondDerivative: 5.5183538074088395e+07, cwndSecondDerivative: 0
Method 1: time: 1.003720895, rttSecondDerivative: 5.539375399741427e+07, cwndSecondDerivative: 0
Method 1: time: 1.004946823, rttSecondDerivative: 5.612619425381739e+07, cwndSecondDerivative: 0
Method 1: time: 1.002590802, rttSecondDerivative: 5.6328477992453285e+07, cwndSecondDerivative: 0
Method 1: time: 1.004309253, rttSecondDerivative: 5.640083082594036e+07, cwndSecondDerivative: 0
Method 1: time: 1.002460097, rttSecondDerivative: 5.658088396976136e+07, cwndSecondDerivative: 0
Method 1: time: 1.004596029, rttSecondDerivative: 5.683276586408809e+07, cwndSecondDerivative: 0
Method 1: time: 1.002869261, rttSecondDerivative: 5.7026097995728e+07, cwndSecondDerivative: 0
Method 1: time: 1.003556182, rttSecondDerivative: 5.7203121916923515e+07, cwndSecondDerivative: 0
Method 1: time: 1.003834352, rttSecondDerivative: 5.738805799864228e+07, cwndSecondDerivative: 0
Method 1: time: 1.004220119, rttSecondDerivative: 5.776131128576873e+07, cwndSecondDerivative: 0
Method 1: time: 1.00481352, rttSecondDerivative: 5.808308392987123e+07, cwndSecondDerivative: 0
Method 1: time: 1.004687562, rttSecondDerivative: 5.82147965533827e+07, cwndSecondDerivative: 0
Method 1: time: 1.003267296, rttSecondDerivative: 5.842188496421554e+07, cwndSecondDerivative: 0
Method 1: time: 1.003877637, rttSecondDerivative: 5.8620908899462104e+07, cwndSecondDerivative: 0
