Realtime bandwidth: upload: 1750 Bytes/s; download: 1156 Bytes/s
Realtime bandwidth: upload: 22056 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 21091 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 17039 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 28047 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 20324 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 25884 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 26683 Bytes/s; download: 918 Bytes/s
Realtime bandwidth: upload: 28733 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 23724 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 23589 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 22819 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 28248 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 15118 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 24767 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 18508 Bytes/s; download: 882 Bytes/s
Realtime bandwidth: upload: 24875 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 28072 Bytes/s; download: 916 Bytes/s
Realtime bandwidth: upload: 31031 Bytes/s; download: 852 Bytes/s
Realtime bandwidth: upload: 22753 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 24509 Bytes/s; download: 884 Bytes/s
Realtime bandwidth: upload: 23647 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 26455 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 22649 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 24653 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 24629 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 21889 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 18521 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 17096 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 21223 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 24905 Bytes/s; download: 907 Bytes/s
Realtime bandwidth: upload: 17204 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 20984 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 22009 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 22046 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 18243 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 20639 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 19071 Bytes/s; download: 933 Bytes/s
Realtime bandwidth: upload: 24217 Bytes/s; download: 907 Bytes/s
Realtime bandwidth: upload: 25750 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 23136 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 19996 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 19596 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 23875 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 24513 Bytes/s; download: 878 Bytes/s
Realtime bandwidth: upload: 27722 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 24703 Bytes/s; download: 966 Bytes/s
Realtime bandwidth: upload: 25620 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 27182 Bytes/s; download: 882 Bytes/s
Realtime bandwidth: upload: 30788 Bytes/s; download: 935 Bytes/s
Realtime bandwidth: upload: 27737 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 28619 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 24612 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 26193 Bytes/s; download: 907 Bytes/s
Realtime bandwidth: upload: 27755 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 26519 Bytes/s; download: 938 Bytes/s
Realtime bandwidth: upload: 26721 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 22485 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 25969 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 24582 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 24315 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 32061 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 28719 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 22210 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 31141 Bytes/s; download: 938 Bytes/s
Realtime bandwidth: upload: 22159 Bytes/s; download: 882 Bytes/s
Realtime bandwidth: upload: 23636 Bytes/s; download: 943 Bytes/s
Realtime bandwidth: upload: 21264 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 23348 Bytes/s; download: 902 Bytes/s
Realtime bandwidth: upload: 19025 Bytes/s; download: 1004 Bytes/s
Realtime bandwidth: upload: 28547 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 21458 Bytes/s; download: 994 Bytes/s
Realtime bandwidth: upload: 23845 Bytes/s; download: 975 Bytes/s
Realtime bandwidth: upload: 18878 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 26670 Bytes/s; download: 973 Bytes/s
Realtime bandwidth: upload: 21392 Bytes/s; download: 1005 Bytes/s
Realtime bandwidth: upload: 26024 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 23411 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 26871 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 21597 Bytes/s; download: 969 Bytes/s
Realtime bandwidth: upload: 26479 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 22773 Bytes/s; download: 950 Bytes/s
Realtime bandwidth: upload: 27168 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 22222 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 25382 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 25382 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 24863 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 20519 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 24666 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 19334 Bytes/s; download: 970 Bytes/s
Realtime bandwidth: upload: 20522 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 14552 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 27033 Bytes/s; download: 1006 Bytes/s
Realtime bandwidth: upload: 25693 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 26179 Bytes/s; download: 1008 Bytes/s
Realtime bandwidth: upload: 22809 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 31072 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 21348 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 26684 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 20727 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 22520 Bytes/s; download: 1003 Bytes/s
Realtime bandwidth: upload: 18399 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 24477 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 24480 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 28690 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 23151 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 29722 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 21675 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 29661 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 19361 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 20042 Bytes/s; download: 1037 Bytes/s
Realtime bandwidth: upload: 28616 Bytes/s; download: 975 Bytes/s
Realtime bandwidth: upload: 28859 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 21816 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 22531 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 20574 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 23153 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 23518 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 26064 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 28770 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 25863 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 21701 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 25209 Bytes/s; download: 933 Bytes/s
Realtime bandwidth: upload: 28821 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 27089 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 22598 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 25688 Bytes/s; download: 975 Bytes/s
Realtime bandwidth: upload: 23468 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 23522 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 30413 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 26336 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 21971 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 22960 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 14227 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 19124 Bytes/s; download: 1079 Bytes/s
Realtime bandwidth: upload: 33452 Bytes/s; download: 1032 Bytes/s
Realtime bandwidth: upload: 24217 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 23162 Bytes/s; download: 1012 Bytes/s
Realtime bandwidth: upload: 33101 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 24886 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 17935 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 23975 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 22032 Bytes/s; download: 1008 Bytes/s
Realtime bandwidth: upload: 22515 Bytes/s; download: 951 Bytes/s
Realtime bandwidth: upload: 27185 Bytes/s; download: 1008 Bytes/s
Realtime bandwidth: upload: 19998 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 22163 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 20249 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 24445 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 25926 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 21973 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 29082 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 32544 Bytes/s; download: 1013 Bytes/s
Realtime bandwidth: upload: 24722 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 27199 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 23574 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 24524 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 22370 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 24890 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 23667 Bytes/s; download: 1012 Bytes/s
Realtime bandwidth: upload: 25525 Bytes/s; download: 975 Bytes/s
Realtime bandwidth: upload: 24042 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 24915 Bytes/s; download: 1046 Bytes/s
Realtime bandwidth: upload: 20450 Bytes/s; download: 959 Bytes/s
Realtime bandwidth: upload: 20947 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 14273 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 23717 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 15069 Bytes/s; download: 1008 Bytes/s
Realtime bandwidth: upload: 27450 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 26090 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 26068 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 17571 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 29483 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 17496 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 20677 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 28889 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 22127 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 19204 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 22643 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 17516 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 21430 Bytes/s; download: 968 Bytes/s
Realtime bandwidth: upload: 16210 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 22504 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 17684 Bytes/s; download: 972 Bytes/s
Realtime bandwidth: upload: 34550 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 28704 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 35002 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 28925 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 25197 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 27677 Bytes/s; download: 973 Bytes/s
Realtime bandwidth: upload: 30031 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 24757 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 25749 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 21750 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 28430 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 24845 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 26372 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 20727 Bytes/s; download: 1043 Bytes/s
Realtime bandwidth: upload: 24378 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 24325 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 24805 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 23123 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 25055 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 22605 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 22523 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 22238 Bytes/s; download: 974 Bytes/s
Realtime bandwidth: upload: 26393 Bytes/s; download: 1015 Bytes/s
Realtime bandwidth: upload: 23230 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 22953 Bytes/s; download: 950 Bytes/s
Realtime bandwidth: upload: 25610 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 21150 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 18644 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 21209 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 33103 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 27381 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 22484 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 23934 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 23643 Bytes/s; download: 975 Bytes/s
Realtime bandwidth: upload: 25105 Bytes/s; download: 1013 Bytes/s
Realtime bandwidth: upload: 27094 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 28208 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 23161 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 26084 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 23003 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 20716 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 20527 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 22657 Bytes/s; download: 1000 Bytes/s
Realtime bandwidth: upload: 20580 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 18250 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 16367 Bytes/s; download: 1012 Bytes/s
Realtime bandwidth: upload: 20755 Bytes/s; download: 974 Bytes/s
Realtime bandwidth: upload: 19474 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 21183 Bytes/s; download: 1039 Bytes/s
Realtime bandwidth: upload: 15500 Bytes/s; download: 947 Bytes/s
Realtime bandwidth: upload: 24558 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 24892 Bytes/s; download: 950 Bytes/s
Realtime bandwidth: upload: 46991 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 25992 Bytes/s; download: 974 Bytes/s
Realtime bandwidth: upload: 26675 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 21057 Bytes/s; download: 943 Bytes/s
Realtime bandwidth: upload: 58187 Bytes/s; download: 1208 Bytes/s
Realtime bandwidth: upload: 102786 Bytes/s; download: 951 Bytes/s
Realtime bandwidth: upload: 16809 Bytes/s; download: 1014 Bytes/s
Realtime bandwidth: upload: 94599 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 76365 Bytes/s; download: 1057 Bytes/s
Realtime bandwidth: upload: 83879 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 115554 Bytes/s; download: 994 Bytes/s
Realtime bandwidth: upload: 88637 Bytes/s; download: 1026 Bytes/s
Realtime bandwidth: upload: 54574 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 64257 Bytes/s; download: 988 Bytes/s
Realtime bandwidth: upload: 139152 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 64573 Bytes/s; download: 1018 Bytes/s
Realtime bandwidth: upload: 55002 Bytes/s; download: 1014 Bytes/s
Realtime bandwidth: upload: 84455 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 101671 Bytes/s; download: 1083 Bytes/s
Realtime bandwidth: upload: 149362 Bytes/s; download: 1027 Bytes/s
Realtime bandwidth: upload: 164329 Bytes/s; download: 1084 Bytes/s
Realtime bandwidth: upload: 121168 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 131522 Bytes/s; download: 1028 Bytes/s
Realtime bandwidth: upload: 115390 Bytes/s; download: 993 Bytes/s
Realtime bandwidth: upload: 123231 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 138936 Bytes/s; download: 989 Bytes/s
Realtime bandwidth: upload: 101411 Bytes/s; download: 1048 Bytes/s
Realtime bandwidth: upload: 192771 Bytes/s; download: 1106 Bytes/s
Realtime bandwidth: upload: 163250 Bytes/s; download: 1041 Bytes/s
Realtime bandwidth: upload: 41886 Bytes/s; download: 1051 Bytes/s
Realtime bandwidth: upload: 131317 Bytes/s; download: 1014 Bytes/s
Realtime bandwidth: upload: 91745 Bytes/s; download: 1020 Bytes/s
Realtime bandwidth: upload: 98370 Bytes/s; download: 1011 Bytes/s
Realtime bandwidth: upload: 115591 Bytes/s; download: 997 Bytes/s
Realtime bandwidth: upload: 228988 Bytes/s; download: 1169 Bytes/s
Realtime bandwidth: upload: 122132 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 109718 Bytes/s; download: 955 Bytes/s
Realtime bandwidth: upload: 87156 Bytes/s; download: 996 Bytes/s
Realtime bandwidth: upload: 115754 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 95889 Bytes/s; download: 959 Bytes/s
Realtime bandwidth: upload: 94377 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 70313 Bytes/s; download: 1018 Bytes/s
Realtime bandwidth: upload: 81159 Bytes/s; download: 1028 Bytes/s
Realtime bandwidth: upload: 99919 Bytes/s; download: 1052 Bytes/s
Realtime bandwidth: upload: 53772 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 17427 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 61287 Bytes/s; download: 1014 Bytes/s
Realtime bandwidth: upload: 43097 Bytes/s; download: 1002 Bytes/s
Realtime bandwidth: upload: 47205 Bytes/s; download: 1014 Bytes/s
Realtime bandwidth: upload: 125078 Bytes/s; download: 1012 Bytes/s
Realtime bandwidth: upload: 197484 Bytes/s; download: 1135 Bytes/s
Realtime bandwidth: upload: 192062 Bytes/s; download: 1039 Bytes/s
Realtime bandwidth: upload: 205489 Bytes/s; download: 1128 Bytes/s
Realtime bandwidth: upload: 180038 Bytes/s; download: 1311 Bytes/s
Realtime bandwidth: upload: 149498 Bytes/s; download: 1020 Bytes/s
Realtime bandwidth: upload: 165748 Bytes/s; download: 1005 Bytes/s
Realtime bandwidth: upload: 189442 Bytes/s; download: 1023 Bytes/s
Realtime bandwidth: upload: 187928 Bytes/s; download: 1101 Bytes/s
Realtime bandwidth: upload: 126522 Bytes/s; download: 1073 Bytes/s
Realtime bandwidth: upload: 154697 Bytes/s; download: 954 Bytes/s
Realtime bandwidth: upload: 61904 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 101339 Bytes/s; download: 1010 Bytes/s
Realtime bandwidth: upload: 39 Bytes/s; download: 224 Bytes/s
Realtime bandwidth: upload: 165 Bytes/s; download: 0 Bytes/s
Realtime bandwidth: upload: 66 Bytes/s; download: 0 Bytes/s
Realtime bandwidth: upload: 66 Bytes/s; download: 0 Bytes/s
Realtime bandwidth: upload: 66 Bytes/s; download: 0 Bytes/s
